dataset_number/I:physics_short/C:crossSection/D:genFiltEff/D:kFactor/D:relUncertUP/D:relUncertDOWN/D:generator_name/C
362014         Sherpa_CT10_Znunu_Pt0_70_CFilterBVeto_qsf025                12162.0        0.139589207444      0.991887       0.0            0.0            Sherpa(v2.1.1)
362022         Sherpa_CT10_Znunu_Pt0_70_BFilter_qsf025                     12162.0        0.0788230575067     0.991887       0.0            0.0            Sherpa(v2.1.1)
362030         Sherpa_CT10_Znunu_Pt70_140_CVetoBVeto_qsf025                484.35         0.663291675821      0.991887       0.0            0.0            Sherpa(v2.1.1)
362038         Sherpa_CT10_Znunu_Pt70_140_CFilterBVeto_qsf025              484.35         0.211544045399      0.991887       0.0            0.0            Sherpa(v2.1.1)
362046         Sherpa_CT10_Znunu_Pt70_140_BFilter_qsf025                   484.35         0.125054632303      0.991887       0.0            0.0            Sherpa(v2.1.1)
362054         Sherpa_CT10_Znunu_Pt140_280_CVetoBVeto_qsf025               71.192         0.6263920607        0.991887       0.0            0.0            Sherpa(v2.1.1)
362062         Sherpa_CT10_Znunu_Pt140_280_CFilterBVeto_qsf025             71.192         0.233133006204      0.991887       0.0            0.0            Sherpa(v2.1.1)
362070         Sherpa_CT10_Znunu_Pt140_280_BFilter_qsf025                  71.192         0.1404749331        0.991887       0.0            0.0            Sherpa(v2.1.1)
362078         Sherpa_CT10_Znunu_Pt280_500_CVetoBVeto_qsf025               4.7211         0.59385494245       0.991887       0.0            0.0            Sherpa(v2.1.1)
362086         Sherpa_CT10_Znunu_Pt280_500_CFilterBVeto_qsf025             4.7211         0.253854396447      0.991887       0.0            0.0            Sherpa(v2.1.1)
362094         Sherpa_CT10_Znunu_Pt280_500_BFilter_qsf025                  4.7211         0.152768973961      0.991887       0.0            0.0            Sherpa(v2.1.1)
362102         Sherpa_CT10_Znunu_Pt500_700_CVetoBVeto_qsf025               0.27398        0.579072567968      0.991887       0.0            0.0            Sherpa(v2.1.1)
362110         Sherpa_CT10_Znunu_Pt500_700_CFilterBVeto_qsf025             0.27398        0.269136141708      0.991887       0.0            0.0            Sherpa(v2.1.1)
362118         Sherpa_CT10_Znunu_Pt500_700_BFilter_qsf025                  0.27398        0.163099895246      0.991887       0.0            0.0            Sherpa(v2.1.1)
362126         Sherpa_CT10_Znunu_Pt700_1000_CVetoBVeto_qsf025              0.046898       0.601972666982      0.991887       0.0            0.0            Sherpa(v2.1.1)
362134         Sherpa_CT10_Znunu_Pt700_1000_CFilterBVeto_qsf025            0.046898       0.280181321487      0.991887       0.0            0.0            Sherpa(v2.1.1)
362142         Sherpa_CT10_Znunu_Pt700_1000_BFilter_qsf025                 0.046898       0.164294187671      0.991887       0.0            0.0            Sherpa(v2.1.1)
